source,metric,mean
Ours (MAPPO),steps,129.382
Ours (MAPPO),elapsed_sec,14.397083679199218
Ours (MAPPO),seed,42.0
Ours (MAPPO),terminated,0.807
Ours (MAPPO),truncated,0.193
Ours (MAPPO),time_limit_rate,0.193
Ours (MAPPO),episode_time_seconds,12.938199999999984
Ours (MAPPO),mean_cft_est,13.740548273859009
Ours (MAPPO),mean_cft_completed,7.893952272118564
Ours (MAPPO),vehicle_cft_count,20.0
Ours (MAPPO),cft_est_valid,1.0
Ours (MAPPO),deadline_gamma,1.350518168152238
Ours (MAPPO),deadline_seconds,11.35261776179558
Ours (MAPPO),critical_path_cycles,22769101750.018032
Ours (MAPPO),r_time,-0.0018017360414497579
Ours (MAPPO),r_interf,-135746855.48431286
Ours (MAPPO),r_risk,-0.016725324380374332
Ours (MAPPO),r_illegal,0.0
Ours (MAPPO),r_pbrs,0.0007294523676947584
Ours (MAPPO),r_term,0.01377217816720538
Ours (MAPPO),r_step,-135746855.52268174
Ours (MAPPO),r_total,-0.7795605761314566
Ours (MAPPO),abs_ratio_r_time,0.03516897542533887
Ours (MAPPO),abs_ratio_r_energy,0.07567651957364435
Ours (MAPPO),abs_ratio_r_interf,0.21877431078018678
Ours (MAPPO),abs_ratio_r_risk,0.3543169747456859
Ours (MAPPO),abs_ratio_r_illegal,0.0
Ours (MAPPO),abs_ratio_r_pbrs,0.005169836846160717
Ours (MAPPO),abs_ratio_r_term,0.31089338262898325
Ours (MAPPO),I_total_mean,5.462195407085844e-07
Ours (MAPPO),I_total_p50,5.597789996158097e-13
Ours (MAPPO),I_total_p95,1.8427995170578106e-06
Ours (MAPPO),I_caused_mean,5.462195407085844e-07
Ours (MAPPO),I_caused_p95,1.8427995170578106e-06
Ours (MAPPO),rho_selected_mean,0.721484624505043
Ours (MAPPO),rho_selected_p10,0.5373455438032746
Ours (MAPPO),uncertainty_selected_mean,0.09125787468627092
Ours (MAPPO),uncertainty_selected_p90,0.24181643989980225
Ours (MAPPO),rho_selected_p50,0.7458154190033675
Ours (MAPPO),rho_selected_p95,0.9081113235265017
Ours (MAPPO),rho_selected_lt_0p6_rate,0.2595680979693954
Ours (MAPPO),rho_selected_lt_0p7_rate,0.3857019143274385
Ours (MAPPO),risk_penalty_mean,0.08516383977234361
Ours (MAPPO),chain_tx_total,485.83
Ours (MAPPO),chain_p95_mean,0.0
Ours (MAPPO),chain_pfail_mean,0.0
Ours (MAPPO),chain_risk_cost_total,0.0
Ours (MAPPO),trust_attempts,480.033
Ours (MAPPO),trust_failures,113.871
Ours (MAPPO),trust_failure_rate,0.22621947947543175
Ours (MAPPO),trust_retry_count,113.871
Ours (MAPPO),episode_vehicle_count,20.0
Ours (MAPPO),episode_task_count,20.0
Ours (MAPPO),total_subtasks,420.121
Ours (MAPPO),reward_mean,-0.7795605748732387
Ours (MAPPO),reward_p50,-0.7379138805804251
Ours (MAPPO),reward_p95,-0.12311788155763197
Ours (MAPPO),reward_min,-2.2420369333326815
Ours (MAPPO),reward_max,0.13740017632112722
Ours (MAPPO),reward_abs_mean,0.8026178904566914
Ours (MAPPO),dT_mean,0.0
Ours (MAPPO),cft_prev_rem_mean,0.0
Ours (MAPPO),cft_curr_rem_mean,0.0
Ours (MAPPO),dCFT_abs_mean,0.0
Ours (MAPPO),dCFT_abs_p95,0.0
Ours (MAPPO),dCFT_rem_mean,0.0
Ours (MAPPO),dCFT_rem_p95,0.0
Ours (MAPPO),dt_used_mean,0.0
Ours (MAPPO),implied_dt_mean,0.0
Ours (MAPPO),dT_eff_mean,0.0
Ours (MAPPO),dT_eff_p95,0.0
Ours (MAPPO),energy_norm_mean,0.03258487402220554
Ours (MAPPO),energy_norm_p95,0.18389478261162742
Ours (MAPPO),t_tx_mean,0.0
Ours (MAPPO),reward_step_p95,0.0
Ours (MAPPO),mean_cft,13.740548273859009
Ours (MAPPO),delta_cft_rem_mean,
Ours (MAPPO),delta_cft_rem_p95,
Ours (MAPPO),mean_cft_rem,0.8023482738590253
